"Kreise (2020) Kennziffer";"Kreise (2020) Name";"Siedlungsstruktureller Kreistyp (2020) Kennziffer";"Siedlungsstruktureller Kreistyp (2020) Name"
"03357000";"Rotenburg (Wümme)";"4";"Dünn besiedelter ländlicher Kreis"
"03358000";"Heidekreis";"4";"Dünn besiedelter ländlicher Kreis"
"03359000";"Stade";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03360000";"Uelzen";"4";"Dünn besiedelter ländlicher Kreis"
"03361000";"Verden";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03401000";"Delmenhorst, Stadt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03402000";"Emden, Stadt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03403000";"Oldenburg (Oldenburg), Stadt";"1";"kreisfreie Großstadt"
"03404000";"Osnabrück, Stadt";"1";"kreisfreie Großstadt"
"03405000";"Wilhelmshaven, Stadt";"2";"Städtischer Kreis"
"03451000";"Ammerland";"2";"Städtischer Kreis"
"03452000";"Aurich";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03453000";"Cloppenburg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03454000";"Emsland";"4";"Dünn besiedelter ländlicher Kreis"
"03455000";"Friesland";"2";"Städtischer Kreis"
"03456000";"Grafschaft Bentheim";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03457000";"Leer";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03458000";"Oldenburg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03459000";"Osnabrück";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03460000";"Vechta";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03461000";"Wesermarsch";"4";"Dünn besiedelter ländlicher Kreis"
"03462000";"Wittmund";"4";"Dünn besiedelter ländlicher Kreis"
"04011000";"Bremen, Stadt";"1";"kreisfreie Großstadt"
"04012000";"Bremerhaven, Stadt";"1";"kreisfreie Großstadt"
"05111000";"Düsseldorf, Stadt";"1";"kreisfreie Großstadt"
"05112000";"Duisburg, Stadt";"1";"kreisfreie Großstadt"
"05113000";"Essen, Stadt";"1";"kreisfreie Großstadt"
"05114000";"Krefeld, Stadt";"1";"kreisfreie Großstadt"
"05116000";"Mönchengladbach, Stadt";"1";"kreisfreie Großstadt"
"05117000";"Mülheim an der Ruhr, Stadt";"1";"kreisfreie Großstadt"
"05119000";"Oberhausen, Stadt";"1";"kreisfreie Großstadt"
"05120000";"Remscheid, Stadt";"1";"kreisfreie Großstadt"
"05122000";"Solingen, Klingenstadt";"1";"kreisfreie Großstadt"
"05124000";"Wuppertal, Stadt";"1";"kreisfreie Großstadt"
"05154000";"Kleve";"2";"Städtischer Kreis"
"05158000";"Mettmann";"2";"Städtischer Kreis"
"05162000";"Rhein-Kreis Neuss";"2";"Städtischer Kreis"
"05166000";"Viersen";"2";"Städtischer Kreis"
"05170000";"Wesel";"2";"Städtischer Kreis"
"05314000";"Bonn, Stadt";"1";"kreisfreie Großstadt"
"05315000";"Köln, Stadt";"1";"kreisfreie Großstadt"
